person_id,crash_id,gender,age,road_user,age_group
49,20241088,Male,32,Driver,26_to_39
50,20241255,Male,49,Driver,40_to_64
51,20241053,Male,21,Driver,17_to_25
52,20241053,Male,21,Passenger,17_to_25
53,20243046,Male,16,Driver,0_to_16
54,20243046,Female,22,Passenger,17_to_25
55,20241080,Female,21,Driver,17_to_25
56,20243044,Male,23,Passenger,17_to_25
57,20241274,Female,80,Passenger,75_or_older
58,20243176,Male,23,Passenger,17_to_25
59,20241181,Female,64,Pedestrian,40_to_64
60,20243110,Female,17,Driver,17_to_25
61,20244044,Male,71,Motorcycle rider,65_to_74
62,20243147,Male,66,Driver,65_to_74
63,20244019,Male,60,Motorcycle rider,40_to_64
64,20241194,Male,54,Driver,40_to_64
65,20241139,Male,18,Motorcycle rider,17_to_25
66,20241197,Male,24,Driver,17_to_25
67,20243220,Male,27,Pedestrian,26_to_39
68,20243267,Male,38,Driver,26_to_39
69,20241057,Female,97,Passenger,75_or_older
70,20243174,Male,83,Driver,75_or_older
71,20241166,Male,49,Driver,40_to_64
72,20243213,Male,36,Driver,26_to_39
73,20241096,Male,70,Driver,65_to_74
74,20242089,Female,29,Driver,26_to_39
75,20243073,Male,26,Motorcycle rider,26_to_39
76,20241027,Male,43,Driver,40_to_64
77,20241163,Male,61,Motorcycle rider,40_to_64
78,20243143,Male,52,Driver,40_to_64
79,20241222,Male,22,Motorcycle rider,17_to_25
80,20241218,Male,53,Driver,40_to_64
81,20243249,Male,44,Motorcycle rider,40_to_64
82,20243098,Female,57,Passenger,40_to_64
83,20241306,Male,18,Driver,17_to_25
84,20243037,Male,18,Passenger,17_to_25
85,20244083,Male,53,Driver,40_to_64
86,20241196,Male,25,Motorcycle rider,17_to_25
87,20244028,Female,44,Passenger,40_to_64
88,20244028,Female,64,Passenger,40_to_64
89,20243038,Male,17,Driver,17_to_25
90,20242023,Female,43,Pedestrian,40_to_64
91,20242230,Female,83,Driver,75_or_older
92,20242127,Male,71,Pedal cyclist,65_to_74
93,20242120,Male,69,Motorcycle rider,65_to_74
94,20241106,Male,87,Passenger,75_or_older
95,20241230,Female,58,Pedestrian,40_to_64
96,20241055,Male,45,Driver,40_to_64
97,20241267,Male,43,Motorcycle rider,40_to_64
98,20242260,Male,38,Driver,26_to_39
99,20242057,Male,15,Driver,0_to_16
100,20243153,Male,27,Driver,26_to_39
101,20242161,Male,63,Pedestrian,40_to_64
102,20241236,Male,38,Motorcycle rider,26_to_39
103,20243172,Male,36,Pedal cyclist,26_to_39
104,20241188,Male,47,Motorcycle rider,40_to_64
105,20243191,Female,78,Driver,75_or_older
106,20243191,Female,19,Driver,17_to_25
107,20241256,Female,76,Driver,75_or_older
108,20241256,Male,23,Passenger,17_to_25
109,20242019,Female,78,Driver,75_or_older
110,20243008,Male,25,Passenger,17_to_25
111,20243001,Male,29,Pedestrian,26_to_39
112,20243041,Male,37,Driver,26_to_39
113,20244021,Female,71,Pedestrian,65_to_74
114,20243113,Male,18,Driver,17_to_25
115,20241107,Female,42,Driver,40_to_64
116,20243022,Female,15,Driver,0_to_16
117,20248002,Male,26,Driver,26_to_39
118,20242088,Male,21,Driver,17_to_25
119,20241173,Female,60,Passenger,40_to_64
120,20241173,Male,57,Driver,40_to_64
121,20241004,Male,30,Driver,26_to_39
122,20246004,Male,36,Driver,26_to_39
123,20241201,Female,48,Pedestrian,40_to_64
124,20241029,Female,60,Motorcycle rider,40_to_64
125,20243005,Male,68,Motorcycle rider,65_to_74
126,20241261,Male,66,Motorcycle rider,65_to_74
127,20244024,Male,65,Pedal cyclist,65_to_74
128,20241215,Male,19,Passenger,17_to_25
129,20243186,Male,20,Driver,17_to_25
130,20243208,Male,35,Pedestrian,26_to_39
131,20241134,Male,28,Pedestrian,26_to_39
132,20243040,Male,45,Driver,40_to_64
133,20243040,Male,30,Passenger,26_to_39
134,20241263,Male,70,Driver,65_to_74
135,20241302,Female,31,Pedestrian,26_to_39
136,20241147,Male,62,Driver,40_to_64
137,20243248,Female,69,Driver,65_to_74
138,20243096,Female,83,Pedestrian,75_or_older
139,20241150,Female,51,Driver,40_to_64
140,20241247,Male,37,Driver,26_to_39
141,20241234,Male,66,Passenger,65_to_74
142,20242110,Male,76,Driver,75_or_older
143,20242052,Male,55,Motorcycle rider,40_to_64
144,20243247,Male,31,Driver,26_to_39
145,20243144,Male,60,Driver,40_to_64
146,20241235,Male,56,Driver,40_to_64
147,20243087,Female,55,Driver,40_to_64
148,20243087,Male,82,Passenger,75_or_older
149,20244061,Male,43,Pedal cyclist,40_to_64
150,20241009,Male,66,Driver,65_to_74
151,20241072,Female,21,Pedestrian,17_to_25
152,20243129,Male,56,Driver,40_to_64
153,20242219,Male,29,Driver,26_to_39
154,20241219,Female,75,Driver,75_or_older
155,20244010,Male,53,Driver,40_to_64
156,20244040,Male,32,Motorcycle rider,26_to_39
157,20243171,Female,31,Driver,26_to_39
158,20242075,Male,42,Driver,40_to_64
159,20243079,Female,40,Driver,40_to_64
160,20241045,Male,56,Driver,40_to_64
161,20243017,Female,40,Passenger,40_to_64
162,20243017,Male,13,Passenger,0_to_16
163,20241160,Male,64,Motorcycle rider,40_to_64
164,20241081,Female,24,Driver,17_to_25
165,20241135,Male,27,Driver,26_to_39
166,20241209,Male,37,Passenger,26_to_39
167,20242140,Male,81,Pedestrian,75_or_older
168,20242140,Female,80,Pedestrian,75_or_older
169,20242142,Female,21,Driver,17_to_25
170,20243107,Male,39,Motorcycle rider,26_to_39
171,20243020,Male,27,Pedestrian,26_to_39
172,20241151,Male,54,Motorcycle rider,40_to_64
173,20243158,Female,17,Driver,17_to_25
174,20241286,Female,76,Passenger,75_or_older
175,20243102,Male,19,Motorcycle rider,17_to_25
176,20241303,Female,55,Motorcycle rider,40_to_64
177,20246029,Female,44,Driver,40_to_64
178,20248005,Male,28,Motorcycle rider,26_to_39
179,20244018,Male,91,Pedestrian,75_or_older
180,20241060,Male,45,Driver,40_to_64
181,20241060,Female,11,Passenger,0_to_16
182,20242022,Female,53,Driver,40_to_64
183,20241037,Male,63,Driver,40_to_64
184,20241257,Male,62,Driver,40_to_64
185,20241128,Male,43,Driver,40_to_64
186,20243089,Male,73,Driver,65_to_74
187,20242181,Male,24,Driver,17_to_25
188,20243082,Male,46,Motorcycle rider,40_to_64
189,20243150,Female,48,Driver,40_to_64
190,20243170,Male,69,Pedestrian,65_to_74
191,20243239,Male,30,Driver,26_to_39
192,20242040,Male,37,Driver,26_to_39
193,20243084,Male,51,Motorcycle rider,40_to_64
194,20241030,Male,46,Driver,40_to_64
195,20243127,Male,73,Motorcycle rider,65_to_74
196,20243003,Female,78,Passenger,75_or_older
197,20243266,Male,73,Driver,65_to_74
198,20241042,Female,74,Passenger,65_to_74
199,20243121,Male,20,Motorcycle rider,17_to_25
200,20241175,Male,18,Driver,17_to_25
201,20243072,Male,27,Motorcycle rider,26_to_39
202,20244057,Male,27,Driver,26_to_39
203,20241091,Male,14,Passenger,0_to_16
204,20243201,Male,37,Driver,26_to_39
205,20242135,Female,53,Driver,40_to_64
206,20243225,Male,41,Motorcycle rider,40_to_64
207,20241167,Male,27,Motorcycle rider,26_to_39
208,20244060,Male,48,Motorcycle rider,40_to_64
209,20241268,Female,34,Motorcycle rider,26_to_39
210,20244013,Male,22,Motorcycle rider,17_to_25
211,20243235,Male,58,Passenger,40_to_64
212,20243235,Female,68,Passenger,65_to_74
213,20244059,Male,5,Passenger,0_to_16
214,20244059,Female,15,Passenger,0_to_16
215,20241266,Male,37,Motorcycle rider,26_to_39
216,20243131,Male,56,Driver,40_to_64
217,20242080,Male,20,Driver,17_to_25
218,20241287,Male,21,Driver,17_to_25
219,20241152,Male,30,Driver,26_to_39
220,20243161,Male,35,Driver,26_to_39
221,20242042,Female,2,Pedestrian,0_to_16
222,20243210,Female,59,Motorcycle rider,40_to_64
223,20244025,Male,76,Motorcycle rider,75_or_older
224,20243088,Male,76,Pedestrian,75_or_older
225,20241211,Male,51,Driver,40_to_64
226,20241211,Male,44,Driver,40_to_64
227,20242007,Male,34,Driver,26_to_39
228,20241204,Male,77,Driver,75_or_older
229,20244062,Male,19,Motorcycle rider,17_to_25
230,20241137,Male,65,Motorcycle rider,65_to_74
231,20243117,Male,21,Motorcycle rider,17_to_25
232,20242081,Male,27,Motorcycle rider,26_to_39
233,20243206,Male,21,Motorcycle rider,17_to_25
234,20248003,Female,33,Motorcycle rider,26_to_39
235,20244032,Female,19,Driver,17_to_25
236,20241153,Male,49,Driver,40_to_64
237,20242138,Male,34,Driver,26_to_39
238,20243198,Male,61,Driver,40_to_64
239,20242107,Male,11,Pedestrian,0_to_16
240,20243080,Female,39,Pedestrian,26_to_39
241,20242204,Male,30,Motorcycle rider,26_to_39
242,20242139,Male,49,Driver,40_to_64
243,20241103,Male,41,Driver,40_to_64
244,20242129,Female,31,Driver,26_to_39
245,20244027,Female,76,Driver,75_or_older
246,20243006,Male,78,Pedestrian,75_or_older
247,20243108,Male,20,Motorcycle rider,17_to_25
248,20243212,Male,9,Pedal cyclist,0_to_16
249,20241237,Male,15,Motorcycle rider,0_to_16
250,20241052,Male,37,Pedestrian,26_to_39
251,20241308,Male,30,Driver,26_to_39
252,20246027,Male,52,Pedestrian,40_to_64
253,20244072,Female,1,Pedestrian,0_to_16
254,20241195,Female,52,Driver,40_to_64
255,20244043,Female,93,Driver,75_or_older
256,20241102,Male,87,Driver,75_or_older
257,20243194,Male,37,Motorcycle rider,26_to_39
258,20243070,Male,31,Motorcycle rider,26_to_39
259,20243165,Male,34,Motorcycle rider,26_to_39
260,20241063,Male,53,Driver,40_to_64
261,20241132,Male,23,Motorcycle rider,17_to_25
262,20241292,Female,27,Driver,26_to_39
263,20241189,Female,65,Driver,65_to_74
264,20241233,Male,19,Passenger,17_to_25
265,20241233,Female,57,Passenger,40_to_64
266,20241233,Male,18,Passenger,17_to_25
267,20241233,Male,57,Driver,40_to_64
268,20242115,Male,72,Driver,65_to_74
269,20242167,Male,81,Driver,75_or_older
270,20241016,Female,83,Driver,75_or_older
271,20243234,Male,60,Driver,40_to_64
272,20246025,Male,66,Driver,65_to_74
273,20241220,Female,44,Driver,40_to_64
274,20241034,Male,21,Motorcycle rider,17_to_25
275,20242012,Female,79,Pedestrian,75_or_older
276,20243009,Male,17,Driver,17_to_25
277,20243009,Male,32,Motorcycle rider,26_to_39
278,20241269,Male,53,Driver,40_to_64
279,20242093,Male,74,Driver,65_to_74
280,20242176,Male,22,Motorcycle rider,17_to_25
281,20242255,Male,22,Motorcycle rider,17_to_25
282,20241066,Male,58,Driver,40_to_64
283,20242175,Male,23,Motorcycle rider,17_to_25
284,20243207,Female,74,Pedestrian,65_to_74
285,20242029,Male,32,Pedestrian,26_to_39
286,20241246,Male,41,Driver,40_to_64
287,20241078,Male,17,Driver,17_to_25
288,20243064,Male,53,Pedestrian,40_to_64
289,20241013,Female,22,Passenger,17_to_25
290,20241013,Male,22,Passenger,17_to_25
291,20246019,Male,51,Driver,40_to_64
292,20242257,Male,84,Passenger,75_or_older
293,20241138,Male,50,Motorcycle rider,40_to_64
294,20244014,Male,65,Driver,65_to_74
295,20244069,Female,59,Passenger,40_to_64
296,20242053,Male,25,Driver,17_to_25
297,20243111,Female,22,Driver,17_to_25
298,20243067,Male,56,Driver,40_to_64
299,20242186,Male,48,Driver,40_to_64
300,20242250,Male,21,Motorcycle rider,17_to_25
301,20243167,Male,38,Motorcycle rider,26_to_39
302,20243106,Female,35,Pedestrian,26_to_39
303,20242098,Male,37,Motorcycle rider,26_to_39
304,20241179,Male,60,Motorcycle rider,40_to_64
305,20242070,Female,56,Driver,40_to_64
306,20243261,Male,63,Motorcycle rider,40_to_64
307,20243227,Male,20,Driver,17_to_25
308,20242243,Male,81,Pedal cyclist,75_or_older
309,20242102,Female,80,Driver,75_or_older
310,20241109,Male,18,Driver,17_to_25
311,20243187,Male,36,Pedestrian,26_to_39
312,20241301,Male,57,Motorcycle rider,40_to_64
313,20243135,Male,28,Driver,26_to_39
314,20241248,Male,96,Driver,75_or_older
315,20243268,Male,63,Driver,40_to_64
316,20242071,Male,38,Motorcycle rider,26_to_39
317,20241020,Male,58,Motorcycle rider,40_to_64
318,20241294,Female,15,Pedestrian,0_to_16
319,20241304,Male,62,Driver,40_to_64
320,20242123,Male,62,Pedestrian,40_to_64
321,20242144,Male,39,Pedestrian,26_to_39
322,20241199,Male,23,Driver,17_to_25
323,20241199,Female,26,Passenger,26_to_39
324,20243066,Male,25,Passenger,17_to_25
325,20243233,Male,21,Driver,17_to_25
326,20243203,Male,50,Driver,40_to_64
327,20242209,Male,40,Driver,40_to_64
328,20242056,Male,57,Pedestrian,40_to_64
329,20242130,Male,44,Motorcycle rider,40_to_64
330,20243109,Male,64,Driver,40_to_64
331,20243109,Female,60,Passenger,40_to_64
332,20243010,Male,68,Driver,65_to_74
333,20243181,Male,23,Motorcycle rider,17_to_25
334,20246018,Female,54,Driver,40_to_64
335,20241071,Female,63,Pedestrian,40_to_64
336,20241186,Male,13,Pedestrian,0_to_16
337,20243078,Male,29,Motorcycle rider,26_to_39
338,20241223,Male,56,Pedestrian,40_to_64
339,20241221,Male,44,Driver,40_to_64
340,20241143,Male,17,Driver,17_to_25
341,20243242,Male,53,Driver,40_to_64
342,20242189,Female,23,Driver,17_to_25
343,20242170,Female,53,Driver,40_to_64
344,20243043,Male,56,Driver,40_to_64
345,20241140,Male,19,Driver,17_to_25
346,20244063,Male,78,Motorcycle rider,75_or_older
347,20241131,Male,70,Motorcycle rider,65_to_74
348,20242172,Male,42,Pedal cyclist,40_to_64
349,20241111,Male,31,Driver,26_to_39
350,20242055,Male,66,Pedestrian,65_to_74
351,20241017,Male,20,Motorcycle pillion passenger,17_to_25
352,20244067,Male,49,Pedestrian,40_to_64
353,20246024,Male,61,Pedestrian,40_to_64
354,20241254,Male,20,Motorcycle pillion passenger,17_to_25
355,20241254,Male,21,Motorcycle rider,17_to_25
356,20243011,Male,69,Motorcycle rider,65_to_74
357,20246011,Female,80,Driver,75_or_older
358,20242177,Female,68,Pedestrian,65_to_74
359,20241127,Male,52,Driver,40_to_64
360,20241210,Female,81,Passenger,75_or_older
361,20242132,Male,46,Driver,40_to_64
362,20242132,Male,37,Passenger,26_to_39
363,20242184,Male,6,Passenger,0_to_16
364,20241253,Male,23,Driver,17_to_25
365,20243024,Male,34,Motorcycle rider,26_to_39
366,20242224,Male,25,Driver,17_to_25
367,20243031,Male,21,Driver,17_to_25
368,20242069,Male,19,Motorcycle rider,17_to_25
369,20243156,Male,32,Motorcycle rider,26_to_39
370,20242251,Female,43,Pedestrian,40_to_64
371,20244034,Male,49,Pedal cyclist,40_to_64
372,20242090,Male,34,Motorcycle rider,26_to_39
373,20243231,Female,35,Passenger,26_to_39
374,20243231,Female,60,Passenger,40_to_64
375,20243231,Male,28,Passenger,26_to_39
376,20242194,Male,50,Driver,40_to_64
377,20243142,Male,73,Driver,65_to_74
378,20242043,Female,68,Pedal cyclist,65_to_74
379,20243124,Male,72,Driver,65_to_74
380,20244007,Male,78,Motorcycle rider,75_or_older
381,20242060,Male,79,Pedestrian,75_or_older
382,20243104,Female,37,Pedestrian,26_to_39
383,20244041,Female,37,Driver,26_to_39
384,20246026,Male,20,Driver,17_to_25
385,20243021,Male,29,Driver,26_to_39
386,20242155,Male,63,Driver,40_to_64
387,20242032,Male,35,Pedestrian,26_to_39
388,20241285,Male,69,Motorcycle rider,65_to_74
389,20244066,Male,52,Pedestrian,40_to_64
390,20242064,Male,27,Pedal cyclist,26_to_39
391,20242164,Male,22,Motorcycle rider,17_to_25
392,20244035,Male,75,Driver,75_or_older
393,20243018,Male,47,Motorcycle rider,40_to_64
394,20242086,Male,51,Motorcycle rider,40_to_64
395,20243217,Male,67,Pedestrian,65_to_74
396,20243251,Female,36,Passenger,26_to_39
397,20243058,Female,3,Passenger,0_to_16
398,20244046,Male,47,Driver,40_to_64
399,20243085,Male,70,Pedestrian,65_to_74
400,20244039,Male,38,Driver,26_to_39
401,20243240,Male,79,Driver,75_or_older
402,20246002,Male,24,Driver,17_to_25
403,20246002,Male,27,Passenger,26_to_39
404,20242099,Female,68,Passenger,65_to_74
405,20242099,Male,65,Driver,65_to_74
406,20243063,Male,30,Motorcycle rider,26_to_39
407,20241176,Male,31,Motorcycle rider,26_to_39
408,20247022,Male,28,Driver,26_to_39
409,20241086,Male,50,Pedestrian,40_to_64
410,20241224,Male,16,Passenger,0_to_16
411,20241265,Male,27,Motorcycle rider,26_to_39
412,20241202,Female,96,Pedestrian,75_or_older
413,20246023,Male,59,Driver,40_to_64
414,20241293,Male,55,Driver,40_to_64
415,20241299,Male,60,Driver,40_to_64
416,20244078,Male,80,Pedestrian,75_or_older
417,20243164,Male,57,Pedestrian,40_to_64
418,20242201,Male,54,Motorcycle rider,40_to_64
419,20241307,Male,43,Driver,40_to_64
420,20242074,Male,23,Driver,17_to_25
421,20242074,Male,59,Driver,40_to_64
422,20241243,Male,25,Driver,17_to_25
423,20241243,Male,63,Driver,40_to_64
424,20247034,Female,20,Pedestrian,17_to_25
425,20241260,Male,20,Driver,17_to_25
426,20243004,Male,34,Driver,26_to_39
427,20246014,Male,23,Motorcycle rider,17_to_25
428,20246014,Male,30,Motorcycle rider,26_to_39
429,20242024,Male,75,Driver,75_or_older
430,20243169,Male,71,Motorcycle rider,65_to_74
431,20243081,Male,78,Driver,75_or_older
432,20243081,Male,55,Driver,40_to_64
433,20242169,Male,61,Driver,40_to_64
434,20241110,Male,49,Motorcycle rider,40_to_64
435,20241082,Male,17,Motorcycle rider,17_to_25
436,20241159,Male,40,Driver,40_to_64
437,20246022,Male,18,Passenger,17_to_25
438,20241229,Male,16,Driver,0_to_16
439,20242026,Male,19,Passenger,17_to_25
440,20242268,Male,53,Pedestrian,40_to_64
441,20242238,Male,63,Pedal cyclist,40_to_64
442,20242122,Female,56,Pedal cyclist,40_to_64
443,20241046,Male,20,Passenger,17_to_25
444,20241046,Female,18,Passenger,17_to_25
445,20241046,Female,20,Passenger,17_to_25
446,20243192,Male,87,Driver,75_or_older
447,20241032,Female,55,Driver,40_to_64
448,20241032,Male,54,Passenger,40_to_64
449,20241031,Male,16,Motorcycle rider,0_to_16
450,20243254,Male,63,Pedal cyclist,40_to_64
451,20243133,Male,33,Driver,26_to_39
452,20241203,Male,67,Driver,65_to_74
453,20243118,Male,33,Driver,26_to_39
454,20243173,Male,69,Pedal cyclist,65_to_74
455,20243199,Male,56,Driver,40_to_64
456,20244003,Male,71,Driver,65_to_74
457,20241298,Male,67,Driver,65_to_74
458,20242112,Female,28,Driver,26_to_39
459,20242112,Male,3,Passenger,0_to_16
460,20243092,Male,59,Driver,40_to_64
461,20243042,Male,37,Motorcycle rider,26_to_39
462,20244005,Male,84,Driver,75_or_older
463,20243178,Male,51,Motorcycle rider,40_to_64
464,20244050,Female,85,Driver,75_or_older
465,20241208,Male,39,Driver,26_to_39
466,20242259,Male,67,Driver,65_to_74
467,20242212,Male,19,Motorcycle rider,17_to_25
468,20243019,Male,26,Motorcycle rider,26_to_39
469,20241036,Male,32,Driver,26_to_39
470,20242226,Female,64,Pedestrian,40_to_64
471,20247007,Male,73,Driver,65_to_74
472,20243074,Male,11,Pedal cyclist,0_to_16
473,20241003,Male,63,Driver,40_to_64
474,20241277,Male,17,Motorcycle rider,17_to_25
475,20241249,Male,83,Pedestrian,75_or_older
476,20242020,Male,25,Motorcycle rider,17_to_25
477,20242108,Male,28,Driver,26_to_39
478,20243120,Male,57,Motorcycle rider,40_to_64
479,20242187,Male,33,Driver,26_to_39
480,20243116,Male,60,Passenger,40_to_64
481,20243116,Male,67,Driver,65_to_74
482,20242133,Male,59,Driver,40_to_64
483,20241092,Male,17,Passenger,17_to_25
484,20242121,Male,29,Driver,26_to_39
485,20243214,Male,32,Driver,26_to_39
486,20241118,Female,72,Driver,65_to_74
487,20243157,Male,19,Passenger,17_to_25
488,20241190,Male,47,Driver,40_to_64
489,20241097,Male,82,Passenger,75_or_older
490,20242265,Female,17,Passenger,17_to_25
491,20242265,Male,18,Driver,17_to_25
492,20241250,Male,80,Driver,75_or_older
493,20242200,Male,18,Driver,17_to_25
494,20242234,Male,18,Driver,17_to_25
495,20242048,Female,26,Motorcycle rider,26_to_39
496,20242003,Male,73,Driver,65_to_74
497,20243252,Female,33,Driver,26_to_39
498,20243252,Male,0,Passenger,0_to_16
499,20243061,Male,18,Driver,17_to_25
500,20242162,Male,20,Motorcycle rider,17_to_25
501,20244071,Male,58,Driver,40_to_64
502,20241047,Male,61,Pedestrian,40_to_64
503,20241205,Male,80,Pedestrian,75_or_older
504,20241024,Male,22,Motorcycle rider,17_to_25
505,20242096,Male,30,Pedestrian,26_to_39
506,20242240,Female,29,Pedestrian,26_to_39
507,20243139,Male,44,Pedestrian,40_to_64
508,20243075,Female,24,Passenger,17_to_25
509,20244051,Female,85,Driver,75_or_older
510,20241070,Male,47,Driver,40_to_64
511,20244079,Male,84,Driver,75_or_older
512,20243051,Female,15,Passenger,0_to_16
513,20243051,Male,54,Driver,40_to_64
514,20243051,Male,8,Passenger,0_to_16
515,20242237,Female,81,Pedestrian,75_or_older
516,20243148,Male,36,Motorcycle rider,26_to_39
517,20242157,Male,83,Pedestrian,75_or_older
518,20244022,Male,63,Passenger,40_to_64
519,20241142,Male,85,Driver,75_or_older
520,20241124,Male,46,Driver,40_to_64
521,20241010,Male,19,Driver,17_to_25
522,20241252,Female,76,Driver,75_or_older
523,20243155,Male,44,Driver,40_to_64
524,20243163,Male,55,Motorcycle rider,40_to_64
525,20243269,Male,73,Driver,65_to_74
526,20243056,Male,57,Motorcycle rider,40_to_64
527,20243049,Male,49,Passenger,40_to_64
528,20243103,Male,57,Pedal cyclist,40_to_64
529,20242233,Male,29,Motorcycle rider,26_to_39
530,20243014,Male,72,Driver,65_to_74
531,20241198,Male,64,Driver,40_to_64
532,20242249,Male,81,Pedestrian,75_or_older
533,20243154,Female,33,Passenger,26_to_39
534,20243154,Female,56,Passenger,40_to_64
535,20243154,Female,21,Passenger,17_to_25
536,20241100,Male,35,Motorcycle rider,26_to_39
537,20241074,Male,63,Motorcycle rider,40_to_64
538,20243263,Female,68,Driver,65_to_74
539,20242016,Male,30,Driver,26_to_39
540,20244017,Male,66,Motorcycle rider,65_to_74
541,20244009,Male,54,Pedal cyclist,40_to_64
542,20242085,Female,81,Passenger,75_or_older
543,20244012,Male,68,Driver,65_to_74
544,20243205,Male,45,Driver,40_to_64
545,20241035,Male,78,Pedestrian,75_or_older
546,20241161,Male,27,Pedestrian,26_to_39
547,20241062,Male,68,Motorcycle rider,65_to_74
548,20243119,Male,36,Motorcycle rider,26_to_39
549,20241155,Male,22,Motorcycle rider,17_to_25
550,20243152,Male,51,Driver,40_to_64
551,20243053,Male,27,Driver,26_to_39
552,20241039,Male,47,Pedal cyclist,40_to_64
553,20242154,Male,43,Passenger,40_to_64
554,20242154,Male,34,Passenger,26_to_39
555,20243215,Male,84,Driver,75_or_older
556,20243026,Male,25,Motorcycle rider,17_to_25
557,20241050,Male,22,Driver,17_to_25
558,20243271,Female,63,Driver,40_to_64
559,20241133,Male,25,Driver,17_to_25
560,20248008,Male,47,Motorcycle rider,40_to_64
561,20244037,Male,73,Driver,65_to_74
562,20242143,Male,15,Motorcycle rider,0_to_16
563,20241273,Male,43,Pedestrian,40_to_64
564,20242067,Female,20,Motorcycle rider,17_to_25
565,20242214,Male,64,Driver,40_to_64
566,20243238,Male,49,Driver,40_to_64
567,20242011,Female,61,Pedestrian,40_to_64
568,20241180,Male,29,Motorcycle rider,26_to_39
569,20241059,Female,59,Passenger,40_to_64
570,20241021,Male,90,Driver,75_or_older
571,20242254,Male,40,Motorcycle rider,40_to_64
572,20243256,Male,25,Driver,17_to_25
573,20241245,Male,60,Driver,40_to_64
574,20243126,Male,54,Motorcycle rider,40_to_64
575,20244082,Female,63,Passenger,40_to_64
576,20244082,Male,67,Driver,65_to_74
577,20241108,Male,87,Pedestrian,75_or_older
578,20242137,Male,50,Motorcycle rider,40_to_64
579,20241005,Male,19,Motorcycle rider,17_to_25
580,20241051,Male,19,Driver,17_to_25
581,20243128,Male,33,Motorcycle rider,26_to_39
582,20242109,Female,40,Pedestrian,40_to_64
583,20241116,Male,69,Driver,65_to_74
584,20243226,Male,22,Motorcycle rider,17_to_25
585,20242092,Male,38,Motorcycle rider,26_to_39
586,20242125,Male,23,Motorcycle rider,17_to_25
587,20244077,Male,30,Motorcycle rider,26_to_39
588,20242049,Female,73,Pedestrian,65_to_74
589,20243265,Male,42,Driver,40_to_64
590,20243122,Female,43,Pedestrian,40_to_64
591,20243151,Male,44,Pedestrian,40_to_64
592,20241283,Male,31,Driver,26_to_39
593,20242262,Male,54,Motorcycle rider,40_to_64
594,20242100,Male,54,Motorcycle rider,40_to_64
595,20242211,Male,30,Motorcycle rider,26_to_39
596,20241168,Female,11,Passenger,0_to_16
597,20241168,Male,41,Passenger,40_to_64
598,20241162,Female,68,Driver,65_to_74
599,20241162,Male,25,Driver,17_to_25
600,20241073,Male,29,Pedestrian,26_to_39
601,20243097,Female,81,Passenger,75_or_older
602,20243097,Male,54,Driver,40_to_64
603,20243097,Male,84,Passenger,75_or_older
604,20242182,Male,93,Driver,75_or_older
605,20243123,Female,84,Driver,75_or_older
606,20242044,Female,85,Driver,75_or_older
607,20241120,Male,61,Driver,40_to_64
608,20242266,Male,18,Pedestrian,17_to_25
609,20241048,Female,18,Driver,17_to_25
610,20243023,Male,30,Passenger,26_to_39
